,H_TEAM,H_TEAM_WIN,H_SSN_W,H_LAST10_W,H_LAST5_W,H_SEASON_W_OPP,H_LAST10_W_OPP,H_LAST5_W_OPP,H_AVG_PTS,A_TEAM,A_SSN_W,A_LAST10_W,A_LAST5_W,A_SSN_W_OPP,A_LAST10_W_OPP,A_LAST5_W_OPP,A_AVG_PTS
1476,MEM,W,20,7,5,0,0,0,116.1,ATL,16,4,2,0,0,0,112.0
1477,IWA,W,9,7,3,1,1,1,118.4,MCC,3,2,1,1,1,1,106.1
1478,DAL,W,15,4,3,1,1,1,115.5,OKC,16,4,3,1,1,1,115.3
1479,IND,L,16,4,2,1,1,1,115.8,MIA,16,5,2,0,0,0,108.6
1480,NOP,W,21,8,5,1,1,1,117.8,PHX,17,6,1,1,1,1,117.0
1481,SCW,W,7,6,4,1,1,1,110.3,OKL,7,5,3,1,1,1,104.0
1482,PHI,W,17,5,2,1,1,1,111.9,CHA,7,3,1,1,1,1,109.4
1483,MNE,L,9,5,2,1,1,1,115.1,RAP,5,3,1,0,0,0,115.6
1484,AUS,W,4,2,0,0,0,0,103.1,MXC,9,6,3,1,1,1,111.8
1485,GLI,L,3,2,0,0,0,0,101.3,STO,5,4,1,1,1,1,107.1
1486,ORL,W,11,2,2,1,1,1,104.9,TOR,16,4,2,1,1,1,110.4
1487,NYK,W,16,5,3,0,0,0,114.5,SAC,18,6,4,0,0,0,116.6
1488,HOU,W,10,4,2,0,0,0,113.4,MIL,19,8,4,1,1,1,115.7
1489,CCG,L,6,4,0,1,1,1,111.4,GBO,5,3,3,0,0,0,108.4
1490,ATL,W,15,3,2,0,0,0,109.9,CHI,14,5,2,0,0,0,116.3
1491,DET,L,7,4,2,0,0,0,110.1,LAL,11,5,2,1,1,1,119.6
1492,SXF,W,7,6,3,1,1,1,111.3,MCC,3,2,1,0,0,0,109.9
1493,GSW,W,16,6,2,0,0,0,117.9,BOS,23,8,4,0,0,0,121.8
1494,SLC,L,4,2,1,0,0,0,113.8,ACC,11,9,4,2,2,2,112.0
1495,WCB,W,7,6,2,1,1,1,115.3,FWN,8,6,3,1,1,1,119.8
1496,POR,W,14,3,2,0,0,0,112.2,MIN,17,6,3,0,0,0,115.7
1497,MIA,L,16,5,2,0,0,0,106.2,SAS,8,1,1,0,0,0,106.6
1498,LAK,L,5,4,2,0,0,0,115.9,RGV,11,9,5,2,2,2,120.2
1499,WAS,L,12,2,0,0,0,0,114.5,LAC,16,4,1,0,0,0,111.2
1500,IWA,W,8,6,3,2,2,2,115.8,GRG,2,2,1,0,0,0,107.7
1501,DEN,W,18,6,2,1,1,1,115.1,UTA,16,3,3,1,1,1,117.4
1502,CLE,W,17,6,3,0,0,0,103.2,OKC,16,4,3,0,0,0,116.1
1503,IND,L,16,4,2,2,2,2,112.6,BKN,17,7,4,1,1,1,111.6
1504,CHI,W,13,4,2,0,0,0,112.9,DAL,15,4,3,0,0,0,113.7
1505,TEX,L,7,5,2,1,1,1,125.8,MHU,6,4,3,1,1,1,112.0
1506,NOP,W,20,8,5,0,0,0,117.4,PHX,17,7,2,1,1,1,116.9
1507,MNE,W,8,5,1,0,0,0,116.2,RAP,5,4,1,0,0,0,117.8
1508,IWA,W,7,5,3,1,1,1,115.9,GRG,2,2,1,0,0,0,110.2
1509,BKN,W,16,7,4,0,0,0,112.3,ATL,15,4,2,0,0,0,110.7
1510,MEM,W,19,7,4,2,2,2,116.8,DET,7,4,2,0,0,0,112.7
1511,PHI,W,16,5,2,0,0,0,109.6,LAL,11,6,3,0,0,0,119.7
1512,WCB,W,6,6,2,0,0,0,113.9,FWN,8,6,4,1,1,1,119.6
1513,DAL,L,15,5,4,0,0,0,115.9,MIL,18,7,4,1,1,1,115.3
1514,SXF,W,6,6,2,0,0,0,112.7,MCC,3,3,2,0,0,0,110.3
1515,CHA,L,7,3,1,0,0,0,110.5,NYK,15,4,3,1,1,1,112.5
1516,CCG,L,6,5,1,0,0,0,114.4,LIN,7,7,4,0,0,0,115.0
1517,ORL,W,10,1,1,0,0,0,104.9,TOR,16,5,2,1,1,1,110.7
1518,CLE,L,17,7,3,0,0,0,105.0,SAC,17,6,3,1,1,1,119.0
1519,STO,L,5,5,2,0,0,0,107.5,OKL,6,4,3,1,1,1,103.3
1520,UTA,L,16,4,3,1,1,1,118.4,MIN,16,6,2,0,0,0,116.5
1521,DEL,L,5,4,2,0,0,0,119.0,WES,5,5,4,0,0,0,113.1
1522,IND,W,15,4,1,1,1,1,112.8,WAS,12,3,1,1,1,1,114.1
1523,SCW,W,6,5,3,0,0,0,109.4,SBL,9,7,5,1,1,1,119.2
1524,TEX,W,6,4,1,1,1,1,122.6,AUS,4,3,0,1,1,1,101.6
1525,LAK,L,5,5,2,0,0,0,116.3,RGV,10,8,5,1,1,1,118.5
1526,MIA,W,15,4,2,0,0,0,105.3,LAC,16,5,2,0,0,0,112.1
1527,SLC,L,4,2,1,0,0,0,111.6,ACC,10,9,4,1,1,1,112.6
1528,POR,L,14,3,2,1,1,1,110.9,DEN,17,5,2,0,0,0,112.9
1529,BIR,L,5,5,2,1,1,1,108.6,MHU,5,4,2,0,0,0,111.7
1530,SAS,W,7,0,0,0,0,0,105.8,HOU,10,5,2,1,1,1,112.6
1531,ORL,W,9,1,0,0,0,0,104.1,LAC,16,6,3,0,0,0,110.6
1532,MIN,W,15,6,1,1,1,1,117.3,IND,15,5,2,0,0,0,112.7
1533,UTA,W,15,4,2,0,0,0,119.4,GSW,16,7,3,1,1,1,116.7
1534,RGV,W,9,8,5,2,2,2,122.7,AUS,4,3,1,0,0,0,102.8
1535,NYK,W,14,4,2,0,0,0,111.8,ATL,15,4,2,1,1,1,111.9
1536,MIL,W,17,7,4,0,0,0,114.0,SAC,17,7,3,0,0,0,123.0
1537,TOR,W,15,5,2,0,0,0,109.6,LAL,11,7,3,0,0,0,121.2
1538,BKN,W,15,7,4,1,1,1,111.0,CHA,7,4,2,0,0,0,110.1
1539,CHI,W,12,3,1,0,0,0,111.7,WAS,12,3,1,1,1,1,115.0
1540,STO,L,5,5,3,0,0,0,108.9,OKL,5,4,2,0,0,0,105.0
1541,NOP,W,19,8,4,1,1,1,118.3,DET,7,4,2,0,0,0,115.0
1542,LIN,W,6,6,4,1,1,1,113.9,DEL,5,5,3,0,0,0,118.8
1543,CLC,W,9,6,3,0,0,0,111.9,FWN,8,7,4,2,2,2,122.1
1544,MEM,W,18,6,4,1,1,1,114.7,OKC,16,5,3,0,0,0,118.0
1545,PHX,L,17,7,3,0,0,0,120.4,BOS,22,8,4,0,0,0,121.0
1546,SXF,W,5,5,2,1,1,1,112.6,WIS,6,5,2,1,1,1,114.9
1547,MIA,L,15,4,3,0,0,0,106.1,DET,6,3,1,0,0,0,112.5
1548,BIR,W,4,4,1,1,1,1,105.1,TEX,6,5,2,1,1,1,122.0
1549,CPS,W,8,6,4,1,1,1,118.5,MNE,8,6,2,0,0,0,117.6
1550,CLE,W,16,7,3,1,1,1,106.6,LAL,11,8,4,0,0,0,122.6
1551,GLI,L,3,3,0,0,0,0,102.5,SBL,8,7,5,2,2,2,119.1
1552,RAP,W,4,3,0,1,1,1,117.1,GBO,5,3,3,1,1,1,111.3
1553,MHU,L,5,5,3,1,1,1,112.8,MXC,8,6,3,1,1,1,111.2
1554,DEN,L,17,5,3,1,1,1,111.7,DAL,14,4,3,1,1,1,113.5
1555,CLC,W,8,6,2,0,0,0,110.6,WCB,6,6,3,1,1,1,114.66666666666667
1556,ATL,L,15,5,2,0,0,0,112.6,OKC,15,4,3,0,0,0,118.1
1557,CHA,L,7,4,3,0,0,0,109.9,LAC,15,5,2,0,0,0,108.8
1558,DAL,W,13,4,2,0,0,0,110.8,PHX,17,8,4,1,1,1,122.3
1559,HOU,W,9,4,2,0,0,0,110.0,PHI,16,6,3,0,0,0,107.8
1560,FWN,W,7,7,4,0,0,0,124.1,IWA,7,6,4,1,1,1,115.2
