,H_TEAM,H_TEAM_WIN,H_SSN_W,H_LAST10_W,H_LAST5_W,H_SEASON_W_OPP,H_LAST10_W_OPP,H_LAST5_W_OPP,H_AVG_PTS,H_AVG_FG_PCT,H_AVG_FGA,H_AVG_FG3M,H_AVG_FTM,H_AVG_DREB,H_AVG_OREB,H_AVG_REB,H_AVG_STL,A_TEAM,A_SSN_W,A_LAST10_W,A_LAST5_W,A_SSN_W_OPP,A_LAST10_W_OPP,A_LAST5_W_OPP,A_AVG_PTS,A_AVG_FG_PCT,A_AVG_FGA,A_AVG_FG3M,A_AVG_FTM,A_AVG_DREB,A_AVG_OREB,A_AVG_REB,A_AVG_STL
1206,OKL,L,4,3,1,1,1,1,112.91666666666667,0.4703333333333333,88.33333333333333,13.416666666666666,9.5,36.25,12.333333333333334,48.583333333333336,6.916666666666667,RGV,3,2,1,0,0,0,116.93333333333334,0.4530666666666666,92.13333333333334,13.733333333333333,11.8,30.4,13.866666666666667,44.266666666666666,10.4
1207,CHI,W,11,3,1,0,0,0,105.45,0.4316000000000001,88.25,12.6,16.95,33.85,10.1,43.95,10.0,LAC,22,8,4,0,0,0,116.15,0.4507,92.15,12.15,21.1,38.8,12.05,50.85,7.55
1208,TEX,L,9,7,3,0,0,0,116.14285714285714,0.4645714285714285,94.92857142857143,12.142857142857142,9.785714285714286,33.0,13.571428571428571,46.57142857142857,11.785714285714286,MHU,12,9,4,2,2,2,118.6923076923077,0.4775384615384616,93.3076923076923,13.384615384615385,10.23076923076923,33.76923076923077,11.307692307692308,45.07692307692308,10.538461538461538
1209,MIL,W,28,10,5,2,2,2,121.6,0.4894000000000001,91.15,13.8,18.8,41.3,10.7,52.0,7.85,CLE,7,2,1,0,0,0,103.0,0.4346500000000001,88.4,10.9,15.4,31.6,11.0,42.6,7.55
1210,FWN,W,4,4,3,1,1,1,104.85714285714286,0.4452142857142857,88.0,9.714285714285714,10.857142857142858,33.5,11.5,45.0,7.857142857142857,ERI,5,3,1,1,1,1,111.64285714285714,0.4422857142857143,93.57142857142857,12.642857142857142,9.857142857142858,36.714285714285715,14.571428571428571,51.285714285714285,8.5
1211,CTN,L,9,7,3,0,0,0,112.07692307692308,0.46699999999999997,87.0,10.923076923076923,12.307692307692308,30.53846153846154,11.615384615384615,42.15384615384615,10.923076923076923,WIS,11,10,5,0,0,0,119.0,0.4573076923076923,93.23076923076923,14.923076923076923,11.923076923076923,43.0,13.615384615384615,56.61538461538461,6.384615384615385
1212,DEN,W,19,5,2,0,0,0,106.25,0.45614999999999994,90.25,10.85,13.1,35.15,10.5,45.65,7.65,OKC,13,6,3,0,0,0,108.7,0.4665,84.05,10.35,19.85,34.1,7.45,41.55,7.55
1213,SXF,L,6,3,2,0,0,0,109.78571428571429,0.4812857142857143,83.57142857142857,11.285714285714286,11.428571428571429,33.785714285714285,9.785714285714286,43.57142857142857,7.285714285714286,STO,7,6,3,1,1,1,114.08333333333333,0.45183333333333336,92.58333333333333,12.583333333333334,11.166666666666666,33.833333333333336,12.833333333333334,46.666666666666664,8.333333333333334
1214,PHI,W,23,8,4,0,0,0,108.6,0.47985000000000005,84.35,11.1,16.6,36.65,9.0,45.65,7.95,NOP,11,0,0,0,0,0,110.6,0.44605000000000006,90.8,13.65,16.15,33.9,10.3,44.2,7.85
1215,MIA,L,22,7,4,0,0,0,110.75,0.47650000000000003,83.4,12.6,18.75,35.65,9.05,44.7,8.35,LAL,25,9,5,1,1,1,114.4,0.4921000000000001,88.25,11.55,15.85,35.5,9.95,45.45,8.75
1216,IWA,L,6,5,3,0,0,0,117.6923076923077,0.4656153846153846,92.53846153846153,13.692307692307692,10.76923076923077,35.38461538461539,11.461538461538462,46.84615384615385,8.0,MNE,7,6,2,0,0,0,121.45454545454545,0.4661818181818181,95.0,16.181818181818183,10.454545454545455,36.63636363636363,14.454545454545455,51.09090909090909,7.818181818181818
1217,SBL,W,7,6,3,0,0,0,118.23076923076923,0.47853846153846147,93.23076923076923,11.846153846153847,10.538461538461538,36.53846153846154,13.307692307692308,49.84615384615385,10.384615384615385,NAS,3,2,0,1,1,1,107.76923076923077,0.44961538461538464,86.23076923076923,11.615384615384615,11.461538461538462,33.0,10.0,43.0,7.384615384615385
1218,CTN,W,8,6,2,1,1,1,110.91666666666667,0.46141666666666664,86.91666666666667,10.833333333333334,12.333333333333334,30.583333333333332,11.083333333333334,41.666666666666664,10.583333333333334,GRD,9,6,2,0,0,0,107.13333333333334,0.4564,90.46666666666667,9.8,9.666666666666666,33.46666666666667,15.4,48.86666666666667,9.533333333333333
1219,MIN,L,12,2,0,0,0,0,114.6,0.44905,91.4,13.0,19.7,35.75,11.05,46.8,7.35,LAC,21,8,4,0,0,0,115.2,0.44555,92.8,11.95,20.65,38.75,12.55,51.3,7.65
1220,LAK,L,8,6,3,1,1,1,101.38461538461539,0.44346153846153835,86.3076923076923,11.23076923076923,8.076923076923077,34.76923076923077,9.23076923076923,44.0,9.23076923076923,CAP,6,4,2,0,0,0,111.38461538461539,0.4585384615384616,88.3076923076923,10.615384615384615,12.076923076923077,32.0,9.0,41.0,9.846153846153847
1221,OKL,L,4,3,1,0,0,0,115.27272727272727,0.47781818181818186,88.63636363636364,13.727272727272727,9.727272727272727,36.54545454545455,12.545454545454545,49.09090909090909,6.7272727272727275,SLC,9,9,5,1,1,1,110.36363636363636,0.47309090909090906,85.9090909090909,12.363636363636363,10.818181818181818,34.90909090909091,10.545454545454545,45.45454545454545,10.363636363636363
1222,UTA,W,15,4,2,2,2,2,108.15,0.45344999999999996,85.1,12.4,18.85,36.55,9.1,45.65,5.65,GSW,7,2,1,0,0,0,104.05,0.43434999999999996,88.35,8.9,18.65,33.0,10.2,43.2,8.25
1223,GBO,L,4,3,2,0,0,0,115.41666666666667,0.4613333333333333,92.08333333333333,12.333333333333334,11.416666666666666,30.833333333333332,12.833333333333334,43.666666666666664,9.916666666666666,CPS,7,6,3,1,1,1,110.92307692307692,0.45699999999999996,89.0,12.076923076923077,10.384615384615385,33.23076923076923,10.307692307692308,43.53846153846154,9.846153846153847
1224,CHI,L,11,4,2,1,1,1,106.55,0.43805000000000005,87.95,12.7,17.05,33.95,9.85,43.8,9.85,CHA,12,5,3,1,1,1,105.4,0.4383500000000001,86.8,13.35,16.05,31.25,10.75,42.0,6.75
1225,MEM,L,11,3,2,0,0,0,109.4,0.46525,89.95,11.3,14.6,35.25,9.25,44.5,8.1,MIL,27,10,5,0,0,0,121.0,0.48715,91.25,13.9,18.4,41.05,10.75,51.8,7.85
1226,ORL,L,14,5,3,0,0,0,103.6,0.43655,86.8,10.1,17.6,34.55,10.35,44.9,8.25,HOU,20,5,3,0,0,0,118.7,0.44925,90.3,15.9,21.8,36.7,11.55,48.25,8.9
